Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2010,1,1,STL,Sam Bradford\BradSa00,QB,22,2018,0,0,5,44,23,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma,College Stats
2010,1,2,DET,Ndamukong Suh\SuhxNd99,DT,23,2020,3,5,10,87,57,163,0,0,0,0,0,0,0,0,0,0,0,355,1,60.5,Nebraska,College Stats
2010,1,3,TAM,Gerald McCoy\McCoGe99,DT,22,2019,1,6,10,68,64,139,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma,College Stats
2010,1,4,WAS,Trent Williams\WillTr21,T,22,2020,0,7,9,67,67,124,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
2010,1,5,KAN,Eric Berry\BerrEr99,DB,21,2018,3,5,5,47,47,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee,College Stats
2010,1,6,SEA,Russell Okung\OkunRu20,T,22,2020,0,2,8,61,36,126,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,College Stats
2010,1,7,CLE,Joe Haden\HadeJo99,DB,21,2020,0,3,8,55,38,135,0,0,0,0,0,0,0,0,0,0,0,443,28,3,Florida,College Stats
2010,1,8,OAK,Rolando McClain\McClRo00,LB,21,2015,0,0,5,26,16,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5,Alabama,College Stats
2010,1,9,BUF,C.J. Spiller\SpilC.00,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,College Stats
2010,1,10,JAX,Tyson Alualu\AluaTy99,DT,23,2020,0,0,6,44,35,160,0,0,0,0,0,1,0,0,2,19,0,242,,23.5,California,College Stats
2010,1,11,SFO,Anthony Davis\DaviAn27,T,20,2016,0,0,4,36,36,72,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats
2010,1,12,SDG,Ryan Mathews\MathRy00,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,,Fresno St.,College Stats
2010,1,13,PHI,Brandon Graham\GrahBr99,DE,22,2020,0,0,5,47,47,147,0,0,0,0,0,0,0,0,0,0,0,285,,54,Michigan,College Stats
2010,1,14,SEA,Earl Thomas\ThomEa99,DB,21,2019,3,7,9,77,72,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2,Texas,College Stats
2010,1,15,NYG,Jason Pierre-Paul\PierJa99,DE,21,2020,1,2,8,61,53,142,0,0,0,0,0,0,0,0,0,0,0,393,2,83.5,South Florida,College Stats
2010,1,16,TEN,Derrick Morgan\MorgDe99,DE,21,2018,0,0,8,40,40,118,0,0,0,0,0,0,0,0,0,0,0,208,,44.5,Georgia Tech,College Stats
2010,1,17,SFO,Mike Iupati\IupaMi20,G,23,2020,1,4,9,60,36,134,0,0,0,0,0,0,0,0,1,10,0,1,,,Idaho,College Stats
2010,1,18,PIT,Maurkice Pouncey\PounMa20,C,21,2020,2,8,8,71,71,124,0,0,0,0,0,0,0,0,1,0,0,,,,Florida,College Stats
2010,1,19,ATL,Sean Weatherspoon\WeatSe99,LB,22,2017,0,0,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,244,2,8,Missouri,College Stats
2010,1,20,HOU,Kareem Jackson\JackKa99,DB,22,2020,0,0,9,44,39,149,0,0,0,0,0,0,0,0,0,0,0,533,18,2,Alabama,College Stats
2010,1,21,CIN,Jermaine Gresham\GresJe00,TE,22,2018,0,2,9,28,22,132,0,0,0,0,0,0,0,0,377,3752,29,1,,,Oklahoma,College Stats
